formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
CdP2,24.00995501,1.4389,15,0.5,mm2,0
CdTe,36.41359051,0.5894,24,0.41,-43m,1
BeS,14.47790034,3.1453,8,1.01,-43m,0
AlF3,11.53877617,7.6012,18,2.37,-3m,1
CdAs2,26.4331368,0.1429,23,0.49,422,0
Te3As2,30.80608906,0.4692,27,0.08,2/m,0
As4S5,30.73117704,1.9859,19,0.4,2/m,0
SiBr2,41.22007492,2.6702,19,1.06,2/m,1
AuBr,31.8846388,1.6885,24,0.42,4/mmm,1
Ba3As14,29.59096016,1.1757,15,1.29,2/m,0
SeBr,38.83432379,1.7386,29,0.41,2/m,0
K3As11,33.13788983,1.4708,14,1.36,mmm,0
GeBr2,35.32790613,2.5973,27,0.95,2/m,0
Rb3As11,35.89783359,1.4712,14,1.36,mmm,0
AsSe,31.14969953,1.3778,27,0.37,2/m,0
AsS,30.37028015,2.032,19,0.4,2/m,0
AsS,30.86343057,1.945,19,0.4,2/m,0
AsS,30.75187803,1.9947,19,0.4,2/m,0
Ag2O3,13.29283306,0.3394,15,1.51,mm2,0
AlF3,12.31110886,7.4237,18,2.37,4/mmm,0
As2O5,12.92795865,1.3437,19,1.26,422,1
BaF2,18.73904627,6.8574,9,3.09,mmm,1
CO2,16.03532873,6.6688,10,0.89,mmm,0
Ag2S,21.08927058,1.0608,15,0.65,2/m,0
BaS3,27.8277611,1.0495,8,1.69,222,0
AsS,29.48909095,2.0408,19,0.4,2/m,0
As4S3,33.05816994,2.4772,19,0.4,mmm,0
BeF2,12.54027083,8.0889,9,2.41,622,0
BeF2,20.14878393,8.0776,9,2.41,-3m,1
AlF3,12.8480139,7.5154,18,2.37,mmm,1
BeF2,17.42808558,7.9633,9,2.41,-43m,0
Ag3F8,15.00916736,0.3356,16,2.05,2/m,0
CdI2,39.82030975,2.3991,25,0.97,-3m,0
CdI2,40.02446715,2.3383,25,0.97,-3m,0
CdI2,40.11514462,2.3726,25,0.97,-3m,0
CdI2,40.13970298,2.375,25,0.97,-3m,0
CdI2,40.08152554,2.3718,25,0.97,-3m,0
CdI2,40.15354793,2.3829,25,0.97,-3m,0
SiC,10.50288749,1.7977,8,0.65,6mm,0
CdI2,40.16329923,2.365,25,0.97,-3m,0
SiC,10.48910744,1.9887,8,0.65,6mm,0
GeBr4,44.38160776,2.9329,27,0.95,2/m,0
BaCl2,30.38782136,4.5724,9,2.27,-6m2,1
SrBr2,36.46354185,4.4697,17,2.01,mmm,1
AgI,35.13408552,1.596,24,0.73,4/mmm,1
Be3P2,13.23762122,0.8891,7,0.62,m-3,1
InBr2,38.78107747,2.4144,26,1.18,mmm,0
Ca3N2,17.52530925,1.3591,7,2.04,2/m,0
NbBr5,36.68392286,1.599,18,1.36,-1,0
Ca3N2,17.73714042,1.3008,7,2.04,mmm,0
BiBr3,41.96199001,2.835,28,0.94,2/m,0
BaI2,43.54228002,3.0499,17,1.77,-6m2,1
In5Br7,36.32562589,2.0779,26,1.18,2/m,0
TlBr,38.9770116,2.3494,26,1.34,m-3m,1
SiC,10.50035283,1.7708,8,0.65,3m,0
SiC,10.49546542,2.0218,8,0.65,3m,0
BaCl2,33.95821602,5.4379,9,2.27,m-3m,0
CdBr2,32.89039134,2.8772,25,1.27,-3m,0
In4Br7,38.1806962,2.2528,26,1.18,-3m,0
SiC,10.49383796,1.8342,8,0.65,3m,0
SiC,10.49088196,2.015,8,0.65,3m,0
BiBr,39.65802454,0.7867,28,0.94,2/m,1
AgTe,26.9557142,0.2416,23,0.17,mmm,0
TaBr5,38.59014187,2.0283,18,1.46,mmm,1
TlBr,35.85790489,2.1998,26,1.34,mmm,1
BeCl2,35.79187527,6.3715,9,1.59,32,0
CaTe,32.98365846,1.6189,16,1.1,6/mmm,1
CdI2,42.70437608,2.4319,25,0.97,3m,0
Ge3As4,23.94026954,0.1541,25,0.17,-43m,0
CdI2,40.56570921,2.38,25,0.97,3m,0
CdI2,41.63661956,2.4072,25,0.97,3m,0
CdI2,41.30320342,2.4077,25,0.97,3m,0
TiBr4,47.01560076,2.7939,17,1.42,m-3,1
MnBr2,29.15839991,1.5292,20,1.41,-3m,0
CdI2,40.14662253,2.3909,25,0.97,3m,0
CdI2,40.0977212,2.3743,25,0.97,6mm,0
SbBr3,40.53146491,3.1147,28,0.91,mmm,0
CdI2,40.20171189,2.3725,25,0.97,3m,0
CdI2,40.14306218,2.3693,25,0.97,6mm,0
CdI2,40.22866774,2.3784,25,0.97,3m,0
CdI2,41.54417225,2.4122,25,0.97,6mm,0
CdI2,40.22357908,2.3565,25,0.97,3m,0
AlH3,9.749623527,3.1932,12,0.59,mmm,0
AuBr,32.42445937,1.9716,24,0.42,4/mmm,1
InBr3,35.24290237,2.4965,26,1.18,2/m,0
BeCl2,53.81337413,6.6628,9,1.59,-43m,0
ThBr4,33.23587807,2.82,17,1.66,4/m,0
CdI2,41.37910069,2.3962,25,0.97,3m,0
