formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
K2Se,38.89957044,2.091,15,1.73,m-3m,0
CsSi,38.39448551,1.2115,5,1.11,4/mmm,0
CsGe,40.88721767,1.0048,13,1.22,4/mmm,0
TlN3,18.77232893,1.7592,16,1.42,4/mmm,0
FeSi,11.00193516,0.1673,10,0.07,23,0
Ga2O3,10.95927632,2.0084,17,1.63,2/m,0
GaP,20.84869442,1.3002,16,0.38,6mm,1
Si2Mo,13.57071168,0.1401,8,0.26,622,0
KSe,35.92641911,0.7601,15,1.73,-6m2,0
CuP2,16.20834956,0.8231,14,0.29,2/m,0
GeTe,28.13247919,0.5645,26,0.09,3m,0
LiP,15.70523131,0.8142,6,1.21,2/m,0
InP,26.49207043,0.528,16,0.41,6mm,1
K2O,22.75631183,1.7109,7,2.62,m-3m,0
MgB7,7.926050276,1.4635,13,0.73,mmm,0
GeF4,18.12144541,5.5005,19,1.97,-43m,0
BN,10.53315043,4.4817,16,1,6/mmm,0
Si3N4,10.61777526,4.244,9,1.14,6/m,0
GaS,24.91474812,1.8648,17,0.77,-3m,0
WN2,9.718304153,1.1319,9,0.68,-6m2,0
P2S7,27.22180718,1.8951,11,0.39,-1,0
BP,11.74807297,1.1007,16,0.15,6mm,0
P2Ir,15.49893851,0.6438,12,0.01,2/m,0
PbS,27.68558475,1.2216,18,0.25,mmm,0
PdCl2,29.53901547,0.8453,15,0.96,2/m,0
PdCl2,25.54726536,0.6979,15,0.96,2/m,0
ZnS,20.25717488,2.0481,16,0.93,6mm,1
Ta2O5,12.43005743,1.232,9,1.94,2/m,0
Nd2O3,17.4727412,3.708,10,2.3,m-3,0
RbSb,44.24757736,0.6292,14,1.23,2/m,0
Tb2O3,15.50320871,3.9006,15,2.34,m-3,0
RbSi,35.83223128,1.35,5,1.08,-43m,0
HgO,18.03684559,1.2677,16,1.44,32,0
P4Ru,15.66137741,0.7481,11,0.01,2/m,0
SiO2,14.02365834,5.5318,10,1.54,622,0
SrS,27.86577551,2.5006,8,1.63,m-3m,0
P4Os,15.69448043,0.6847,11,0.01,2/m,0
SnS2,24.27557635,1.2266,18,0.62,m-3m,0
GdS2,20.72409263,0.3159,14,1.38,2/m,0
VO2,10.41888682,0.7009,9,1.81,2/m,0
Rb2S,36.40457262,1.9663,7,1.76,mmm,1
ZnP2,20.20089734,1.4656,15,0.54,422,0
ZnS2,18.00356424,1.4385,16,0.93,m-3,0
TbS2,20.42649827,0.4498,15,1.48,2/m,0
P4Os,15.86832204,1.2896,11,0.01,-1,0
V2O5,20.49030689,2.4322,9,1.81,-1,0
SrP2,24.63587649,0.8091,7,1.24,2/m,0
RbSn,43.51044857,0.7438,13,1.14,4/mmm,0
Bi2O3,16.39037124,1.4726,19,1.42,3m,1
HgS4,77.80455362,1.0475,16,0.58,mmm,1
Ac2O3,18.57647707,3.5231,7,2.34,-3m,0
Rb2Se,44.65218128,1.7968,15,1.73,m-3m,0
SiO2,11.89332013,5.5353,10,1.54,2/m,0
SnS2,27.57544293,1.5577,18,0.62,-3m,0
RbF,23.62656173,5.5258,8,3.16,m-3m,0
WO3,14.17161001,1.4667,10,1.08,mmm,0
SrS3,25.77676168,1.0704,8,1.63,mm2,1
VO2,11.98497534,1.2593,9,1.81,4/mmm,1
SrO2,16.57588004,2.7856,8,2.49,mmm,0
ReP3,15.71088149,0.2519,10,0.29,mmm,1
SiO2,20.19321816,5.4393,10,1.54,-43m,1
Ti2O3,9.233705319,0.1494,8,1.9,mmm,0
Lu2S3,20.53099808,0.7281,21,1.31,mmm,1
Y2S3,21.84638103,0.6616,7,1.36,mmm,1
Ir2S3,16.0783165,0.7015,13,0.38,mmm,0
P2S3,27.67820261,2.2141,11,0.39,2/m,0
Sb2S3,26.52657222,1.2948,19,0.53,mm2,0
TeO2,15.93377967,2.5813,20,1.34,-1,0
Bi2O3,19.70492849,1.7453,19,1.42,mmm,1
ZrO2,11.72398559,3.5755,8,2.11,mmm,0
WO3,15.67372761,1.2582,10,1.08,6/mmm,1
SiS2,23.30975607,2.8831,10,0.68,2/m,0
H3S,14.0708428,4.3478,7,0.38,1,0
EuP7,21.34787714,0.2925,12,0.99,2/m,0
Rb3P11,32.00577317,1.9328,6,1.37,mmm,0
Bi2O3,17.49894778,2.4517,19,1.42,2/m,1
Zn3P2,18.7065436,0.3739,15,0.54,m-3,1
WO3,13.91128849,1.6723,10,1.08,-1,1
B2S3,16.22008675,2.5264,17,0.54,4/m,1
P2S7,27.95157792,2.0353,11,0.39,2/m,0
RbSi,34.04760924,1.159,5,1.08,4/mmm,0
SiO2,19.58279118,5.7076,10,1.54,2/m,1
P7Pb,22.57809323,0.8858,17,0.14,2/m,0
Sb2O3,17.86368917,2.3569,19,1.39,222,0
WO3,13.91578409,1.6291,10,1.08,2/m,0
SiO2,19.99818821,5.4771,10,1.54,4/mmm,0
SF4,17.25140417,4.8812,13,1.4,222,0
Tm10S19,19.62172033,0.5289,19,1.33,4/m,1
Tb2S3,21.83084481,0.7439,15,1.48,mmm,1
Sb2O3,18.69279036,2.5179,19,1.39,2/m,0
YbO,13.38853267,3.4728,20,2.34,m-3m,0
Te2O5,15.02537993,1.6699,20,1.34,2,0
HgO,18.2583375,1.1911,16,1.44,mmm,0
Dy2S3,21.61414899,0.5938,16,1.36,mmm,1
SiO2,13.70141407,5.6222,10,1.54,2/m,0
PtO2,11.17301852,0.6039,14,1.16,mmm,0
SnO2,12.37454224,0.9604,18,1.48,mmm,0
B6O,7.389205002,1.9307,17,1.4,-3m,1
Th3P4,23.08573566,0.2621,7,0.89,-43m,0
PdS2,22.07438179,0.6041,14,0.38,mmm,0
PdF4,13.54237886,0.6853,15,1.78,mm2,0
ZnP2,20.1948248,0.7456,15,0.54,2/m,1
Rb2O,27.1051505,1.3243,7,2.62,m-3m,0
Rb2Te,47.98595523,1.7021,15,1.28,mmm,1
P2Ru,14.7498029,0.505,11,0.01,mmm,0
Lu2O3,13.91831005,4.0233,21,2.17,m-3,0
Sr3P4,26.32627772,0.9036,7,1.24,mm2,0
P4S3,33.38432994,2.8693,11,0.39,mmm,1
P4S3,33.77619059,2.8851,11,0.39,mmm,0
Tm2S3,24.47889573,2.5376,19,1.33,-3m,0
BP,11.74984538,1.2437,16,0.15,-43m,0
SiO2,19.24555124,5.6346,10,1.54,mmm,1
LaS2,23.23262824,0.6342,7,1.48,mmm,0
P2Rh,15.36497769,0.3951,12,0.09,2/m,0
SiS2,31.60349649,3.0711,10,0.68,mmm,0
Th2S5,21.37770873,1.6968,8,1.28,mmm,0
Pr2O3,17.98702321,3.6593,9,2.31,m-3,0
Rb2S5,32.11208713,1.9569,7,1.76,222,0
SiO2,17.688697,5.6779,10,1.54,mm2,0
Rh2S3,16.07027419,0.1949,13,0.3,mmm,0
SiO2,20.36984755,5.7153,10,1.54,2/m,1
Sm2O3,15.28442249,3.7497,12,2.27,2/m,0
Tm2O3,14.36853223,3.9804,19,2.19,m-3,0
SiO2,22.5285118,5.7313,10,1.54,-3m,1
SiO2,20.04925977,5.6611,10,1.54,2/m,0
TiO2,11.03489046,2.2984,8,1.9,mmm,0
Te2Ru,22.5298602,0.1147,20,0.1,m-3,0
Sr3P14,24.09853823,1.8229,7,1.24,2/m,0
HfO2,11.18684875,4.2065,8,2.14,mmm,0
LaP5,21.58156386,0.1103,6,1.09,2/m,1
WO3,14.28689332,1.332,10,1.08,4/mmm,0
V6O13,12.14629448,0.5151,9,1.81,2/m,0
SiRu,13.34563094,0.2265,10,0.3,23,0
V2O3,10.71945034,0.4888,9,1.81,-3m,1
WO3,14.00825613,1.4239,10,1.08,2/m,0
VO2,10.32361547,0.8863,9,1.81,4/mmm,0
VO,10.6962549,1.7867,9,1.81,4/mmm,0
RuSe2,18.0765272,0.3122,20,0.35,m-3,0
WO2,12.44286292,1.2476,10,1.08,mmm,0
WO3,14.40837394,1.1124,10,1.08,m-3m,0
WO3,14.45859331,1.1456,10,1.08,4/mmm,0
SrS2,24.34468252,1.2879,8,1.63,4/mmm,0
La2O3,16.60337553,3.8248,7,2.34,-3m,0
ZnO,12.41023978,0.6311,16,1.79,-43m,1
PbO,21.8771218,1.5253,18,1.11,4/mmm,0
Sb2O3,18.96691244,3.3462,19,1.39,m-3m,0
LaP7,20.51703105,0.8328,6,1.09,2/m,0
Pb2O3,16.29443934,1.0314,18,1.11,2/m,0
Si3Ru2,14.04931954,0.3774,10,0.3,-42m,1
CeO2,13.6198779,1.8671,8,2.32,m-3m,0
RuS2,15.07668818,0.6668,12,0.38,m-3,0
Gd2O3,14.47135056,2.9035,14,2.24,-3m,1
Pr2O3,16.1630824,3.7756,9,2.31,-3m,0
RhF3,12.53816504,0.8626,14,1.7,-3m,0
Zn3P2,18.90428534,0.3144,15,0.54,4/mmm,1
Rb2P3,33.1427652,0.9313,6,1.37,mmm,0
PbO,21.20352078,2.1326,18,1.11,mmm,0
Rb2Te3,42.06635623,0.6676,15,1.28,mmm,0
SnO,18.82136293,0.4093,18,1.48,4/mmm,0
TeO2,16.47298474,2.2279,20,1.34,mmm,1
PbS,27.08711452,0.4672,18,0.25,m-3m,1
ZnO,12.42967956,0.7316,16,1.79,6mm,1
Sb2O3,18.0765835,2.2239,19,1.39,mmm,1
Pb3O4,19.70783967,1.1617,18,1.11,mmm,0
RbPb,45.88945066,0.405,13,1.51,4/mmm,0
Sc2O3,12.21103818,3.8235,7,2.08,m-3,1
P2O5,12.57790343,4.8374,11,1.25,mmm,0
Sm2O3,16.63544006,3.7823,12,2.27,m-3,0
Si3Ru2,13.99690802,0.5511,10,0.3,mmm,1
Er2S3,23.36320206,1.4611,18,1.34,2/m,1
WS2,20.86995026,1.597,10,0.22,6/mmm,0
Pb3O4,19.7761819,1.1366,18,1.11,4/mmm,0
ClO3,16.3333113,1.3631,13,0.28,m,0
RbI,52.47854295,3.777,16,1.84,m-3m,1
La2O3,18.52835644,3.532,7,2.34,m-3,0
SbO2,13.54952815,1.8871,19,1.39,mm2,0
Tm2S3,22.35801403,1.1833,19,1.33,2/m,1
P2Os,14.95320342,0.7749,11,0.01,mmm,0
Bi2O3,18.67142407,1.6582,19,1.42,-42m,1
ClO2,18.30015271,0.964,13,0.28,mmm,0
PCl5,30.10006881,1.7747,12,0.97,4/m,1
PCl3,36.91482963,4.0342,12,0.97,mmm,0
I2O5,16.78592177,2.6663,21,0.78,2/m,0
Bi2O3,17.07979487,2.1773,19,1.42,2/m,0
RbCl,37.57396653,4.8393,8,2.34,m-3m,1
RbI,45.1851349,3.3455,16,1.84,m-3m,0
H2O,8.019519073,5.4552,7,1.24,-3,0
SO3,16.84789857,5.1448,12,0.86,mm2,1
PdSe2,24.64646548,0.461,22,0.35,mmm,0
P4Se5,30.87471468,1.8262,19,0.36,mm2,0
P2O5,13.42520664,5.2023,11,1.25,mm2,1
Tb2O3,14.28371411,3.9462,15,2.34,2/m,0
SrO,17.63845511,3.2874,8,2.49,m-3m,0
RbH,27.50258658,2.9687,2,1.38,m-3m,0
V2O5,14.32367412,2.166,9,1.81,mmm,0
V2O5,13.59433606,2.3296,9,1.81,mmm,0
TeO3,12.15800998,1.1505,20,1.34,-3m,0
ZrO2,11.76055316,3.8856,8,2.11,4/mmm,0
P4S7,30.99157743,2.7501,11,0.39,2/m,0
TiO2,10.71532922,1.781,8,1.9,4/mmm,1
Te2Ru,23.46183995,0.2953,20,0.1,mmm,0
SrO2,14.5147643,2.8589,8,2.49,4/mmm,0
P4Ru,15.7871635,1.0921,11,0.01,-1,0
Au2O3,14.10330905,0.8126,15,0.9,mm2,0
ReP4,15.93083292,0.7567,10,0.29,mmm,0
Se2O5,17.28588823,2.8874,20,0.89,2/m,1
TeO2,15.68987186,2.8141,20,1.34,422,0
TlP5,24.46502035,1.1945,16,0.57,mm2,0
V4O9,12.38334399,0.407,9,1.81,mmm,0
S8O,29.39026889,2.4236,12,0.86,mm2,1
Tl2O,24.97685788,0.5714,17,1.82,-3m,1
Tc2O7,18.2600416,2.6664,11,1.54,mmm,1
SeO3,17.68176296,2.4312,20,0.89,-42m,1
PI3,50.86906169,2.2779,20,0.47,6,0
Tl4S3,31.04048176,0.8601,17,0.96,2/m,0
Nd2O3,15.72035206,3.8405,10,2.3,-3m,0
Tl4O3,21.59352042,0.9696,17,1.82,2/m,0
SO2,25.32153198,2.8436,12,0.86,mm2,0
Re2P5,15.87877129,0.4832,10,0.29,-1,1
PdI2,36.54055052,0.9081,23,0.46,2/m,0
RhCl3,24.89309033,1.5202,14,0.88,2/m,0
ZnP2,20.19939967,1.466,15,0.54,422,0
SiP,23.61662657,1.7447,9,0.29,mm2,0
TcP4,15.87885588,0.8461,10,0.29,mmm,1
TcP3,15.5613221,0.3853,10,0.29,mmm,0
LaP2,23.06753574,0.558,6,1.09,m,0
Sb2S3,26.37121617,1.2824,19,0.53,mmm,0
P2Pd,17.15896009,0.3453,13,0.01,2/m,0
RbI3,48.73175142,1.8574,16,1.84,mmm,0
IrS2,17.15337889,0.5211,13,0.38,mmm,0
B6P,8.781808669,2.5139,16,0.15,-3m,0
P3Ru,15.48271198,1.0025,11,0.01,-1,0
ZrO2,12.2592001,3.4737,8,2.11,2/m,0
PtS,19.11749782,0.3669,14,0.3,4/mmm,1
P2Se5,32.18075837,1.3289,19,0.36,2/m,0
PSe,33.00577792,2.2456,19,0.36,2/m,0
P2S3,30.13670978,2.4837,11,0.39,2/m,0
Th2P11,19.44054162,0.3234,7,0.89,2/m,1
PI2,47.3035049,1.8951,20,0.47,-1,0
PdCl2,28.79880198,1.3814,15,0.96,-3,0
Cl2O,25.62762358,1.0552,13,0.28,4/mmm,0
RbAu,37.09776625,0.5692,10,1.72,m-3m,0
V6O11,10.68363957,0.7171,9,1.81,-1,0
Tl2S5,29.23362912,1.6707,17,0.96,222,0
B2O3,9.864805829,6.3063,17,1.4,32,0
Rb2Te5,41.02924775,0.2571,15,1.28,2/m,0
NdO2,14.81273072,3.4051,10,2.3,2/m,0
Cl2O7,16.59393559,3.6544,13,0.28,2/m,0
RbBi,47.3973386,0.3793,14,1.2,2/m,0
WO3,15.75818497,1.5008,10,1.08,6mm,1
SiO2,25.73002451,5.787,10,1.54,m-3m,1
HfO2,11.68851216,4.0165,8,2.14,2/m,0
UO3,18.06015704,1.619,10,2.06,m-3m,0
TiO2,11.74653126,2.0619,8,1.9,4/mmm,0
Nd2S3,23.90757745,0.7596,10,1.44,mmm,1
Rb2Te,53.1670635,1.8843,15,1.28,m-3m,0
Gd2O3,16.02038665,2.8858,14,2.24,m-3,1
V2O5,12.01954898,1.7032,9,1.81,2/m,0
RuF5,15.13242079,0.6512,13,1.78,2/m,0
VS4,24.4688255,0.9214,9,0.95,2/m,0
P4Se3,33.67366512,2.1601,19,0.36,mmm,0
Y2S3,24.10242396,1.488,7,1.36,2/m,1
VO2,12.0141178,0.5162,9,1.81,2/m,0
P2S5,30.6358841,2.5525,11,0.39,-1,0
P4O9,14.74012683,5.5685,11,1.25,-3m,0
V5O9,10.67972037,0.7822,9,1.81,-1,0
P4O7,17.54834607,4.1559,11,1.25,2/m,0
P4S9,31.03057011,2.697,11,0.39,2/m,0
Rh2O3,11.04112309,0.6208,13,1.16,-3m,0
SiO2,16.08618494,5.511,10,1.54,222,1
SnO,19.14855931,0.5355,18,1.48,mmm,0
SiO2,15.71030901,5.7034,10,1.54,-42m,1
RuO4,18.37403467,2.3828,12,1.24,2/m,0
Pm2O3,15.29579912,3.8894,11,2.31,-3m,0
PbO,23.50013165,2.2291,18,1.11,mm2,0
Tl2O,24.72676699,0.5157,17,1.82,2/m,1
OsO4,19.2348463,3.258,12,1.24,2,0
TiO2,18.59606726,3.4458,8,1.9,32,1
ZnS,20.23443871,2.031,16,0.93,3m,1
Pm2O3,16.99496226,3.7666,11,2.31,m-3,0
SiO2,19.47063462,5.6009,10,1.54,mm2,1
WO3,14.47521523,1.3406,10,1.08,mmm,0
SiO2,15.11424874,5.6604,10,1.54,mm2,0
ZnS,20.24816964,2.0181,16,0.93,3m,1
SnS,97.60351283,1.5862,18,0.62,mm2,1
SiO2,16.17115175,5.7171,10,1.54,-4,0
ZnS,20.24118028,1.9815,16,0.93,3m,1
SiO2,18.90793898,5.4439,10,1.54,4/mmm,0
SiO2,17.73753,5.6178,10,1.54,4/mmm,0
TiO2,12.22552354,2.6786,8,1.9,2/m,0
ZnS,20.23943183,2.0201,16,0.93,3m,1
SiO2,18.69610068,5.4402,10,1.54,4/mmm,0
SiO2,15.76929841,5.6155,10,1.54,mm2,1
ZnS,20.2103729,1.9339,16,0.93,3m,1
ZnS,20.24291176,1.988,16,0.93,3m,1
SiO2,19.64398234,5.7065,10,1.54,-4,0
ZnS,20.24363333,1.9888,16,0.93,3m,1
SiO2,22.6985541,5.6154,10,1.54,4/mmm,0
ZnS,20.2343911,2.0206,16,0.93,3m,1
ZnS,20.24809387,2.0067,16,0.93,3m,1
SiO2,19.46605256,5.7187,10,1.54,mm2,1
ZnS,20.23932545,1.9651,16,0.93,3m,1
ZnS,20.24617201,2.03,16,0.93,3m,1
ZnS,20.23702941,2.02,16,0.93,3m,1
ZnS,20.23958244,2.0245,16,0.93,3m,1
Pr2O3,16.45764513,3.5619,9,2.31,2/m,0
SiO2,13.88994654,5.6905,10,1.54,4/mmm,0
SiO2,16.02125413,5.5034,10,1.54,m,1
SiO2,17.99328289,5.6355,10,1.54,mm2,0
ZnS,20.26110566,2.0318,16,0.93,3m,1
ZnS,20.24029235,1.9317,16,0.93,3m,1
SiO2,14.02634796,4.707,10,1.54,mmm,1
SnO2,12.51927056,0.8384,18,1.48,mmm,1
SiO2,19.57504738,5.5742,10,1.54,4/mmm,0
SiO2,17.32790228,5.6138,10,1.54,4/mmm,0
Dy2O3,14.02351601,4.003,16,2.22,2/m,0
ZnS,20.23848232,2.0042,16,0.93,3m,1
ZnS,20.2167703,2.0252,16,0.93,3m,1
V4O7,10.68640841,0.5487,9,1.81,-1,0
ZnS,20.24694157,2.0207,16,0.93,3m,1
ZnS,20.21782071,1.8581,16,0.93,3m,1
SiO2,18.39965599,5.484,10,1.54,4/mmm,1
ZnS,20.25618834,2.023,16,0.93,3m,1
ZnS,20.25717869,2.0195,16,0.93,3m,1
SiO2,30.06200248,5.7384,10,1.54,m-3m,0
SiO2,16.68980315,5.3872,10,1.54,2,0
ZnS,20.23754308,2.0174,16,0.93,3m,1
ZnS,20.25263307,2.0073,16,0.93,3m,1
ZnS,20.25666957,2.0244,16,0.93,3m,1
SiO2,18.01112553,5.6115,10,1.54,mm2,1
SiO2,20.10481799,5.72,10,1.54,-1,0
ZnS,20.2534968,2.0003,16,0.93,3m,1
SiO2,18.6796409,5.5652,10,1.54,222,1
SiO2,19.75852264,5.6962,10,1.54,-1,0
Tl2S,32.51569474,0.7668,17,0.96,3,0
ZnS,20.23655563,1.962,16,0.93,3m,1
Bi2O3,19.26709909,2.2745,19,1.42,mmm,1
Pm2O3,15.576813,3.707,11,2.31,2/m,0
SiO2,20.3324132,5.6951,10,1.54,mmm,0
ZrO2,11.80293433,3.6907,8,2.11,mm2,0
SiO2,16.88891806,5.6055,10,1.54,2/m,1
ZnS,20.23745525,1.9927,16,0.93,3m,1
HgO,18.20523241,1.199,16,1.44,2/m,0
SiO2,13.22913666,5.6423,10,1.54,2/m,0
ZnS,20.24126412,2.0323,16,0.93,3m,1
SiO2,17.17664229,5.6105,10,1.54,1,0
ZnS,20.2561896,2.0305,16,0.93,3m,1
Nd2O3,16.02528401,3.6443,10,2.3,2/m,0
TeO2,15.67452149,2.8135,20,1.34,422,0
ZnS,20.23984748,1.6302,16,0.93,3m,1
ZnS,20.25732527,2.0239,16,0.93,3m,1
H2O,7.454270714,5.4777,7,1.24,2,0
SiO2,14.32099303,5.4995,10,1.54,222,1
ZnS,20.25630703,2.0281,16,0.93,3m,1
SiO2,20.62599672,5.5536,10,1.54,6/mmm,1
SiO2,16.49235295,5.4327,10,1.54,mm2,0
ZnS,20.25826466,2.0245,16,0.93,3m,1
ZnS,20.25484469,2.0266,16,0.93,3m,1
ZnS,20.25655449,2.0087,16,0.93,3m,1
SiO2,13.89553798,5.522,10,1.54,mmm,1
SiO2,14.95856186,5.6457,10,1.54,2/m,1
SiO2,14.75848205,5.6497,10,1.54,-42m,0
SiO2,17.67846913,5.5246,10,1.54,mmm,0
BiO2,14.90988905,1.0245,19,1.42,2/m,0
SiO2,18.79926349,5.671,10,1.54,mmm,1
RbS,38.43684814,1.7029,7,1.76,mmm,0
SiO2,19.55944922,5.6221,10,1.54,-3,0
H2O,7.446935289,5.5568,7,1.24,222,0
La10S19,23.62644254,0.7226,7,1.48,4/m,1
SiO2,19.00324914,5.587,10,1.54,mmm,0
Ho2O3,13.78227899,4.0609,17,2.21,2/m,0
SiO2,19.34992139,5.5128,10,1.54,2/m,0
SiO2,16.24335536,5.5665,10,1.54,m-3,0
Y2O3,14.15544097,3.9604,7,2.22,2/m,0
H2O,7.475596133,5.4556,7,1.24,222,0
SiO2,16.26228786,5.4411,10,1.54,622,0
WO3,14.46292164,1.2543,10,1.08,-42m,0
SiO2,17.75723813,5.3664,10,1.54,mmm,1
SiO2,13.93468493,5.6333,10,1.54,4/mmm,0
SiO2,19.86557639,5.6637,10,1.54,2/m,0
V9O17,10.58016993,0.4532,9,1.81,-1,0
SeO2,16.34620939,3.4283,20,0.89,mm2,0
SiO2,18.23701343,5.5993,10,1.54,-3,0
SnS,24.73766267,0.4176,18,0.62,mmm,0
SiO2,25.22230443,5.7101,10,1.54,6/mmm,1
SiO2,21.44911972,5.4895,10,1.54,6/mmm,1
SiO2,22.26723749,5.7315,10,1.54,2/m,0
SbO2,13.61340952,1.905,19,1.39,mmm,0
SiO2,19.47429776,5.6417,10,1.54,2/m,0
SiO2,12.67421146,5.4814,10,1.54,mmm,1
SiO2,18.98560137,5.3907,10,1.54,mmm,1
ZnS,20.25561347,2.0728,16,0.93,6mm,1
SiO2,18.78410667,5.632,10,1.54,2/m,0
Nd10S19,22.4982561,0.5022,10,1.44,4/m,1
SiO2,18.36482922,5.4481,10,1.54,mmm,0
SiO2,18.52105094,5.4244,10,1.54,mmm,0
SeO2,16.08503268,3.4204,20,0.89,mm2,0
SiO2,20.36763774,5.6108,10,1.54,mmm,1
SiO2,21.33457442,5.7712,10,1.54,mmm,0
SiO2,18.83862629,5.4387,10,1.54,mmm,1
SiO2,19.26786006,5.5774,10,1.54,mmm,0
TlS,30.19649145,0.8102,17,0.96,422,1
SiO2,19.65369059,5.5506,10,1.54,m-3m,1
SiO2,22.03654102,5.6131,10,1.54,mm2,0
ZnS,20.23183199,2.027,16,0.93,6mm,1
TeO2,15.73159675,2.8091,20,1.34,222,0
SiO2,18.48647997,5.4512,10,1.54,mmm,1
SO3,15.49853725,5.1417,12,0.86,2/m,0
SiO2,18.51683177,5.6052,10,1.54,2/m,0
P2O5,16.61786639,5.5339,11,1.25,3m,0
RbSb2,42.4253571,0.2906,14,1.23,2/m,0
PdCl2,29.11019227,0.9236,15,0.96,mmm,0
PdI2,41.50844409,0.878,23,0.46,mmm,0
P4Se3,33.77981412,2.1677,19,0.36,mmm,1
PCl5,28.48710053,1.6442,12,0.97,2/m,0
Si2Ru,14.21686228,0.4821,10,0.3,mmm,0
SrP3,22.48987812,0.3689,7,1.24,2/m,1
YbP5,20.89413667,0.2022,19,1.09,2,0
PdSe,20.66253703,0.1783,22,0.35,4/mmm,0
ReS2,20.57879777,1.319,11,0.68,-1,1
P4S9,32.13329628,2.7138,11,0.39,m-3,0
ZnS,20.23766008,1.8885,16,0.93,3m,1
ZnS,20.23023542,2.0194,16,0.93,3m,1
ZnS,20.22375492,1.9845,16,0.93,3m,1
SiO2,22.28601398,5.6773,10,1.54,422,1
SiO2,22.79413424,5.4721,10,1.54,4/mmm,0
Gd2S3,22.30852503,0.5159,14,1.38,mmm,1
PS,30.80054831,2.4818,11,0.39,2/m,0
Rh2O3,10.78343417,0.5692,13,1.16,mmm,0
SiO2,18.91551341,5.4702,10,1.54,2/m,0
PtO2,13.66406425,1.4875,14,1.16,-3m,0
WO3,14.35926038,1.3694,10,1.08,2/m,0
Rb2Se5,34.73700769,0.8371,15,1.73,222,0
V3O5,10.87431439,0.9519,9,1.81,2/m,0
V3O7,12.87501123,0.996,9,1.81,2/m,0
HgS,27.73333078,1.7039,16,0.58,32,0
SeO2,16.51608596,3.1373,20,0.89,mmm,0
SiO2,15.41049983,5.5713,10,1.54,m,1
SF6,13.57780797,5.9606,13,1.4,-1,0
ThO2,14.78627972,4.4404,8,2.14,m-3m,0
SiO2,19.57145162,5.6934,10,1.54,-42m,1
Gd10S19,20.94344338,0.3423,14,1.38,4/m,1
SiO2,19.79702617,5.7038,10,1.54,2/m,1
SiO2,18.00751974,5.696,10,1.54,2/m,0
SiO2,19.84039844,5.5171,10,1.54,mmm,0
SiO2,18.75389961,5.5367,10,1.54,2/m,1
SiO2,20.49820445,5.6294,10,1.54,mmm,1
SiO2,18.27032014,5.6387,10,1.54,mmm,0
SiO2,18.75292243,5.5781,10,1.54,mmm,0
SiO2,18.50433438,5.582,10,1.54,mmm,0
SiO2,18.49373227,5.5763,10,1.54,mmm,0
Gd2S3,22.27896124,0.5683,14,1.38,mmm,0
YbS2,21.819752,1.2803,20,1.48,2/m,0
ZnS,20.23474466,2.0167,16,0.93,3m,1
ZnS,20.23985836,2.021,16,0.93,3m,1
SiO2,17.08656957,5.6051,10,1.54,2/m,0
SiO2,31.09016564,5.5951,10,1.54,6/mmm,1
Rb4Pb9,43.58629572,0.3034,13,1.51,2/m,0
GdP5,20.62117484,0.2267,13,0.99,2/m,0
P4S5,30.77491588,2.4763,11,0.39,2,0
SiO2,14.02599758,5.5311,10,1.54,622,0
SiO2,13.42440196,5.7075,10,1.54,32,0
SiO2,15.29399745,5.5482,10,1.54,422,1
H2O,8.402009817,5.469,7,1.24,422,1
H2S,20.72080907,3.5201,7,0.38,4/mmm,0
SiO2,13.37063385,5.7211,10,1.54,32,0
SiO2,15.29032988,5.5088,10,1.54,422,1
H2O,9.934388868,5.5288,7,1.24,6mm,0
WO3,15.71560016,1.4333,10,1.08,6mm,1
V2O3,10.73924981,0.5626,9,1.81,2/m,1
H2S,16.62884534,4.0299,7,0.38,4,0
SeO2,16.45787225,3.2789,20,0.89,4/mmm,0
P4S5,29.47299559,2.5186,11,0.39,2/m,0
P2Pt,15.88198218,1.0645,13,0.09,m-3,0
SiO2,15.48082529,5.5867,10,1.54,1,0
RbSb,45.05556578,0.5411,14,1.23,222,1
Rb2S3,32.15278821,1.3215,7,1.76,mm2,0
Rb2Se3,35.85408507,0.6796,15,1.73,mm2,0
La2S3,25.16833763,1.0342,7,1.48,mmm,1
V2O5,18.75136467,2.4106,9,1.81,mmm,0
TiO2,14.95494296,2.9821,8,1.9,mmm,0
PtS2,23.12776353,1.4706,14,0.3,-3m,0
SiO2,16.14866991,5.3774,10,1.54,222,1
PtO2,13.63488704,1.5202,14,1.16,6mm,0
Rb2O2,23.29381099,1.7601,7,2.62,mmm,0
SrP,28.6518914,0.5053,7,1.24,-6m2,0
Rb2S,40.13349708,1.9684,7,1.76,m-3m,0
SiO2,15.81203987,5.5887,10,1.54,23,0
Ho2O3,14.93234023,3.9498,17,2.21,m-3,0
SiO2,17.30441123,5.365,10,1.54,m-3m,0
RbTe,41.71359118,0.8245,15,1.28,mmm,0
PF5,15.24692343,7.0881,12,1.79,6/mmm,1
SnO2,12.62233031,0.6475,18,1.48,4/mmm,1
SF6,15.34928136,5.7755,13,1.4,m-3m,1
SiO2,19.85841416,5.5299,10,1.54,6/mmm,0
SF6,14.48553677,5.8901,13,1.4,-3m,1
Ho2S3,23.65955505,1.4613,17,1.35,2/m,1
